[2022-06-30 18:15:28] [    INFO] 前置条件：传音统一登录开始 (conftest.py:10)
[2022-06-30 18:15:40] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:15:44] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:15:44] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:15:44] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:15:49] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:15:51] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:15:51] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:15:55] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:15:55] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:15:57] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:15:57] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:15:57] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:15:58] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:16:03] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:16:05] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:16:05] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:16:09] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:09] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:13] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:13] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:15] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:16:15] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:16:15] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:16:15] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:16:20] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:16:22] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:16:22] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:16:26] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:26] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:30] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:30] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:34] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:34] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:36] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:16:36] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:16:36] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:16:37] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:16:42] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:16:44] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:16:44] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:16:48] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:48] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:52] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:52] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:16:56] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:16:56] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:17:00] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='事业部备料']"] (basics.py:51)
[2022-06-30 18:17:00] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='事业部备料']"] (basics.py:107)
[2022-06-30 18:17:04] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:17:04] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:17:08] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:17:08] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:17:11] [    INFO] 查找元素：('xpath', "//input[@placeholder='请输入关键字']") (basics.py:51)
[2022-06-30 18:17:11] [    INFO] 输入文本：巴基斯坦 (basics.py:72)
[2022-06-30 18:17:11] [    INFO] 输入框键入巴基斯坦 (SystemMgmt_RegionMgmt.py:56)
[2022-06-30 18:17:12] [ WARNING] 断言失败: 两值不等 | a:<public.base.assert_ui.ValueAssert object at 0x00000184702BBBE0> b:None (assert_ui.py:22)
[2022-06-30 18:17:14] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:17:14] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:17:18] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:17:18] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:17:20] [    INFO] 查找元素：('xpath', "//input[@placeholder='请输入关键字']") (basics.py:51)
[2022-06-30 18:17:20] [    INFO] 输入文本：巴基 (basics.py:72)
[2022-06-30 18:17:20] [    INFO] 输入框键入巴基 (SystemMgmt_RegionMgmt.py:56)
[2022-06-30 18:17:21] [ WARNING] 断言失败: 两值不等 | a:<public.base.assert_ui.ValueAssert object at 0x00000184702BB640> b:None (assert_ui.py:22)
[2022-06-30 18:17:23] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:17:23] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:17:27] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:17:27] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:17:30] [    INFO] 查找元素：('xpath', "//input[@placeholder='请输入关键字']") (basics.py:51)
[2022-06-30 18:17:30] [    INFO] 输入文本：加纳 (basics.py:72)
[2022-06-30 18:17:30] [    INFO] 输入框键入加纳 (SystemMgmt_RegionMgmt.py:56)
[2022-06-30 18:17:31] [ WARNING] 断言失败: 两值不等 | a:<public.base.assert_ui.ValueAssert object at 0x00000184702A3D30> b:None (assert_ui.py:22)
[2022-06-30 18:17:31] [    INFO] 查找元素：('xpath', "//i[@class='el-input__icon el-icon-circle-close el-input__clear']") (basics.py:51)
[2022-06-30 18:17:31] [    INFO] 点击元素：('xpath', "//i[@class='el-input__icon el-icon-circle-close el-input__clear']") (basics.py:110)
[2022-06-30 18:17:31] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:17:31] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:17:31] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:17:31] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:17:36] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:17:38] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-06-30 18:17:38] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
[2022-06-30 18:17:42] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:51)
[2022-06-30 18:17:43] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:107)
[2022-06-30 18:17:45] [    INFO] 查找元素：('xpath', "//span[contains(text(),'导出')]") (basics.py:51)
[2022-06-30 18:17:45] [    INFO] 指定下载路径: E:\工作文件\自动化\拉取代码\UIPOMTest\libs\download (basics.py:283)
[2022-06-30 18:17:48] [    INFO] ['drp_dept_export_itel+BU_20220630181745.xlsx'] (basics.py:285)
[2022-06-30 18:17:48] [ WARNING] 断言失败: 下载该附件失败 | drp_dept_export_TECNO  (basics.py:296)
[2022-06-30 18:17:48] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:17:48] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:17:48] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:17:48] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:17:53] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:17:55] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:51)
[2022-06-30 18:17:55] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:107)
[2022-06-30 18:17:59] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:51)
[2022-06-30 18:17:59] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:107)
[2022-06-30 18:18:01] [    INFO] 查找元素：('xpath', "//button[@type='button']//span[contains(text(),'新 增')]") (basics.py:51)
[2022-06-30 18:18:01] [    INFO] 点击元素：('xpath', "//button[@type='button']//span[contains(text(),'新 增')]") (basics.py:110)
[2022-06-30 18:18:02] [    INFO] 查找元素：('xpath', "//span[@class='color-rgb166 marginLeft-33']") (basics.py:51)
[2022-06-30 18:18:02] [    INFO] 获取文本：组织 (basics.py:238)
[2022-06-30 18:18:03] [    INFO] 查找元素：('xpath', "//tbody//tr//td[2]//input[contains(@accept,'-nameZh')]") (basics.py:51)
[2022-06-30 18:18:03] [    INFO] 输入文本：lj测试01 (basics.py:81)
[2022-06-30 18:18:04] [    INFO] 查找元素：('xpath', "//tbody//tr//td[3]//input[contains(@accept,'-nameEn')]") (basics.py:51)
[2022-06-30 18:18:04] [    INFO] 输入文本：ljtest01 (basics.py:81)
[2022-06-30 18:18:04] [    INFO] 查找元素：('xpath', "//tbody//tr//td[6]//span[contains(text(),'保存')]") (basics.py:51)
[2022-06-30 18:18:04] [    INFO] 点击元素：('xpath', "//tbody//tr//td[6]//span[contains(text(),'保存')]") (basics.py:110)
[2022-06-30 18:18:05] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:18:05] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:18:05] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:18:05] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:18:10] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:18:12] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:51)
[2022-06-30 18:18:12] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:107)
[2022-06-30 18:18:16] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:51)
[2022-06-30 18:18:16] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:107)
[2022-06-30 18:18:20] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试01']"] (basics.py:51)
[2022-06-30 18:18:20] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试01']"] (basics.py:107)
[2022-06-30 18:18:22] [    INFO] 查找元素：('xpath', "//button[@type='button']//span[contains(text(),'新 增')]") (basics.py:51)
[2022-06-30 18:18:22] [    INFO] 点击元素：('xpath', "//button[@type='button']//span[contains(text(),'新 增')]") (basics.py:110)
[2022-06-30 18:18:24] [    INFO] 查找元素：('xpath', "//span[@class='color-rgb166 marginLeft-33']") (basics.py:51)
[2022-06-30 18:18:24] [    INFO] 获取文本：地区部 (basics.py:238)
[2022-06-30 18:18:24] [    INFO] 查找元素：('xpath', "//tbody//tr//td[2]//input[contains(@accept,'-nameZh')]") (basics.py:51)
[2022-06-30 18:18:24] [    INFO] 输入文本：lj测试001 (basics.py:81)
[2022-06-30 18:18:25] [    INFO] 查找元素：('xpath', "//tbody//tr//td[3]//input[contains(@accept,'-nameEn')]") (basics.py:51)
[2022-06-30 18:18:25] [    INFO] 输入文本：ljtest001 (basics.py:81)
[2022-06-30 18:18:25] [    INFO] 查找元素：('xpath', "//tbody//tr//td[6]//span[contains(text(),'保存')]") (basics.py:51)
[2022-06-30 18:18:25] [    INFO] 点击元素：('xpath', "//tbody//tr//td[6]//span[contains(text(),'保存')]") (basics.py:110)
[2022-06-30 18:18:26] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:18:26] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:18:26] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:18:26] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:18:31] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:18:33] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:51)
[2022-06-30 18:18:33] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:107)
[2022-06-30 18:18:37] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:51)
[2022-06-30 18:18:37] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:107)
[2022-06-30 18:18:41] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试01']"] (basics.py:51)
[2022-06-30 18:18:41] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试01']"] (basics.py:107)
[2022-06-30 18:18:45] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试001']"] (basics.py:51)
[2022-06-30 18:18:46] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试001']"] (basics.py:107)
[2022-06-30 18:18:48] [    INFO] 查找元素：('xpath', "//button[@type='button']//span[contains(text(),'新 增')]") (basics.py:51)
[2022-06-30 18:18:48] [    INFO] 点击元素：('xpath', "//button[@type='button']//span[contains(text(),'新 增')]") (basics.py:110)
[2022-06-30 18:18:49] [    INFO] 查找元素：('xpath', "//span[@class='color-rgb166 marginLeft-33']") (basics.py:51)
[2022-06-30 18:18:49] [    INFO] 获取文本：大区 (basics.py:238)
[2022-06-30 18:18:49] [    INFO] 查找元素：('xpath', "//input[@placeholder='请输入国家编码或国家名称']") (basics.py:51)
[2022-06-30 18:18:49] [    INFO] 输入文本：中国 (basics.py:81)
[2022-06-30 18:18:50] [    INFO] 查找元素：['xpath', "//div[4]/div[2]/table/tbody/tr[1]/td[4]//span[contains(text(),'添加')]"] (basics.py:47)
[2022-06-30 18:18:50] [    INFO] 查找元素：('xpath', "//div[@aria-label='选择国家']//span[contains(text(),'保存')]") (basics.py:51)
[2022-06-30 18:18:50] [    INFO] 点击元素：('xpath', "//div[@aria-label='选择国家']//span[contains(text(),'保存')]") (basics.py:110)
[2022-06-30 18:18:52] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-06-30 18:18:52] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-06-30 18:18:52] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-06-30 18:18:52] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-06-30 18:18:57] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-06-30 18:18:59] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:51)
[2022-06-30 18:18:59] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'Infinix事业部')]"] (basics.py:107)
[2022-06-30 18:19:03] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:51)
[2022-06-30 18:19:03] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='Infinix事业部']"] (basics.py:107)
[2022-06-30 18:19:07] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试01']"] (basics.py:51)
[2022-06-30 18:19:07] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试01']"] (basics.py:107)
[2022-06-30 18:19:11] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试001']"] (basics.py:51)
[2022-06-30 18:19:11] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='lj测试001']"] (basics.py:107)
[2022-06-30 18:19:15] [    INFO] 查找元素：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='中国']"] (basics.py:51)
[2022-06-30 18:19:15] [    INFO] 选择点击：['xpath', "//div[@tabindex='-1']//div[@tabindex='-1']//div[@tabindex='-1']//div[@class='el-tree-node__content']//span[normalize-space(text())='中国']"] (basics.py:107)
[2022-06-30 18:19:17] [    INFO] 查找元素：('xpath', "//div[4]/div[2]/table/tbody/tr[1]//td[6]//span[normalize-space(text())='编辑']") (basics.py:51)
[2022-06-30 18:19:17] [    INFO] 点击元素：('xpath', "//div[4]/div[2]/table/tbody/tr[1]//td[6]//span[normalize-space(text())='编辑']") (basics.py:110)
[2022-06-30 18:19:17] [    INFO] 查找元素：('xpath', "//thead[contains(@class,'has-gutter')]//th[3]//div") (basics.py:51)
[2022-06-30 18:19:17] [    INFO] 获取文本：市场分类 (basics.py:238)
[2022-06-30 18:19:17] [    INFO] 查找元素：('xpath', "//div[@class='el-table__body-wrapper is-scrolling-none']//input[@placeholder='请选择']") (basics.py:51)
[2022-06-30 18:19:17] [    INFO] 点击元素：('xpath', "//div[@class='el-table__body-wrapper is-scrolling-none']//input[@placeholder='请选择']") (basics.py:110)
[2022-06-30 18:19:21] [    INFO] 查找元素：['xpath', "//div[@x-placement='bottom-start']//li[3]"] (basics.py:51)
[2022-06-30 18:19:22] [    INFO] 选择点击：['xpath', "//div[@x-placement='bottom-start']//li[3]"] (basics.py:107)
